year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2000,Access to electricity (% of population),Missing,72.8,Percentage,World Bank,,72.8
2001,Access to electricity (% of population),Missing,73.9,Percentage,World Bank,1.5109890109890227,73.35
2002,Access to electricity (% of population),Missing,74.9,Percentage,World Bank,1.3531799729364005,73.86666666666667
2003,Access to electricity (% of population),Missing,76.0,Percentage,World Bank,1.4686248331108067,74.93333333333334
2004,Access to electricity (% of population),Missing,77.0,Percentage,World Bank,1.3157894736842104,75.96666666666668
2005,Access to electricity (% of population),Missing,78.1,Percentage,World Bank,1.4285714285714213,77.03333333333332
2006,Access to electricity (% of population),Missing,79.1,Percentage,World Bank,1.2804097311139566,78.06666666666666
2007,Access to electricity (% of population),Missing,80.2,Percentage,World Bank,1.3906447534766229,79.13333333333333
2008,Access to electricity (% of population),Missing,81.4,Percentage,World Bank,1.496259351620951,80.23333333333333
2009,Access to electricity (% of population),Missing,82.5,Percentage,World Bank,1.3513513513513442,81.36666666666667
2010,Access to electricity (% of population),Missing,87.1,Percentage,World Bank,5.575757575757569,83.66666666666667
2011,Access to electricity (% of population),Missing,87.8,Percentage,World Bank,0.8036739380022995,85.8
2012,Access to electricity (% of population),Missing,88.6,Percentage,World Bank,0.9111617312072862,87.83333333333333
2013,Access to electricity (% of population),Missing,89.3,Percentage,World Bank,0.7900677200902968,88.56666666666666
2014,Access to electricity (% of population),Missing,90.1,Percentage,World Bank,0.8958566629339274,89.33333333333333
2015,Access to electricity (% of population),Missing,91.0,Percentage,World Bank,0.9988901220865768,90.13333333333333
2016,Access to electricity (% of population),Missing,91.8,Percentage,World Bank,0.879120879120876,90.96666666666665
2017,Access to electricity (% of population),Missing,92.7,Percentage,World Bank,0.9803921568627514,91.83333333333333
2018,Access to electricity (% of population),Missing,93.4,Percentage,World Bank,0.7551240560949329,92.63333333333333
2019,Access to electricity (% of population),Missing,93.9,Percentage,World Bank,0.5353319057815845,93.33333333333333
2020,Access to electricity (% of population),Missing,94.5,Percentage,World Bank,0.6389776357827415,93.93333333333334
2021,Access to electricity (% of population),Missing,94.9,Percentage,World Bank,0.4232804232804293,94.43333333333334
2022,Access to electricity (% of population),Missing,95.0,Percentage,World Bank,0.10537407797681171,94.8
2023,Access to electricity (% of population),Missing,95.6,Percentage,World Bank,0.631578947368415,95.16666666666667
