Period End,Islamabad,Rawalpindi,Gujranwala,Sialkot,Lahore,Faisalabad,Sargodha,Multan,Bahawalpur,Karachi,Hyderabad,Sukkur,Larkana,Peshawar,Bannu,Quetta,Khuzdar,Pakistan
Weekly,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR 
16-Oct-2025,264.280000,264.170000,264.900000,265.110000,264.720000,264.100000,265.850000,264.420000,265.640000,264.190000,266.210000,264.170000,265.300000,264.200000,265.100000,264.070000,264.170000,264.740000
09-Oct-2025,269.920000,269.820000,270.600000,270.760000,270.360000,269.800000,271.490000,270.040000,271.280000,269.840000,271.860000,269.830000,270.950000,269.800000,270.800000,269.730000,269.830000,270.390000
02-Oct-2025,269.920000,269.820000,270.600000,270.760000,270.360000,269.800000,271.490000,270.040000,271.280000,269.840000,271.860000,269.830000,270.950000,269.800000,270.800000,269.730000,269.830000,270.390000
25-Sep-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
18-Sep-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
11-Sep-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
04-Sep-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
28-Aug-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
21-Aug-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
13-Aug-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
07-Aug-2025,265.570000,265.590000,265.600000,265.770000,265.570000,265.600000,265.870000,265.580000,266.210000,265.660000,266.870000,265.570000,265.930000,265.600000,266.700000,265.660000,265.570000,265.820000
31-Jul-2025,273.090000,273.110000,273.100000,273.290000,273.090000,273.100000,273.390000,273.290000,273.710000,273.180000,274.290000,273.090000,273.440000,273.100000,274.300000,273.180000,273.060000,273.340000
24-Jul-2025,273.090000,273.110000,273.100000,273.290000,273.090000,273.100000,273.390000,273.290000,273.710000,273.180000,274.290000,273.090000,273.440000,273.100000,274.300000,273.180000,273.060000,273.340000
17-Jul-2025,273.090000,273.110000,273.100000,273.290000,273.090000,273.100000,273.390000,273.290000,273.710000,273.180000,274.290000,273.090000,273.440000,273.100000,274.300000,273.180000,273.060000,273.340000
10-Jul-2025,267.660000,267.740000,267.800000,267.910000,267.710000,267.700000,268.010000,267.750000,268.330000,267.800000,269.220000,267.710000,268.060000,267.700000,269,267.790000,267.700000,267.980000
03-Jul-2025,267.660000,267.740000,267.800000,267.910000,267.710000,267.700000,268.010000,267.750000,268.330000,267.800000,269.220000,267.710000,268.060000,267.700000,269,267.790000,267.700000,267.980000
